negative_words,mention_romney,vader_polarity,T,sentiment
2,1,0,0,neutral
0,1,1,0,pro_romney
0,1,0,1,pro_romney
0,0,0,0,pro_romney
0,1,0,0,pro_obama
0,1,0,0,pro_obama
0,0,0,1,neutral
0,0,0,0,neutral
0,1,0,0,neutral
2,1,0,0,neutral
0,1,0,0,pro_obama
0,1,0,0,pro_romney
2,0,0,0,pro_romney
0,1,0,0,pro_obama
0,0,0,0,neutral
0,0,0,0,neutral
1,1,0,0,pro_obama
2,0,0,0,pro_romney
0,1,0,0,pro_romney
2,1,0,0,pro_obama
0,1,0,0,neutral
1,0,0,0,neutral
0,0,0,0,pro_romney
0,1,0,0,pro_romney
0,1,0,0,pro_obama
0,1,0,0,pro_obama
0,0,0,1,pro_romney
1,1,0,0,pro_obama
0,0,0,0,pro_romney
1,0,0,0,neutral
2,0,0,0,neutral
1,0,0,0,pro_romney
1,1,0,0,pro_obama
1,0,0,0,pro_romney
1,1,0,0,pro_obama
0,1,0,0,neutral
0,1,0,0,neutral
3,1,0,0,pro_obama
0,0,0,0,pro_obama
0,1,0,0,pro_romney
0,1,0,0,pro_romney
2,1,0,0,pro_romney
0,0,0,0,pro_obama
0,0,0,0,pro_romney
1,0,0,0,neutral
2,0,0,0,pro_romney
2,0,0,0,neutral
0,0,0,0,neutral
0,1,0,0,neutral
0,0,0,0,neutral
1,1,0,0,pro_obama
0,0,0,0,neutral
0,0,0,0,pro_obama
1,0,0,0,neutral
0,0,0,0,pro_obama
1,1,0,1,pro_obama
0,0,0,0,pro_romney
1,0,0,0,pro_romney
1,1,0,0,neutral
0,1,0,0,pro_romney
0,1,0,0,neutral
0,0,0,0,neutral
0,1,0,0,neutral
0,0,0,0,pro_obama
0,0,0,0,neutral
0,0,0,0,neutral
0,0,0,0,neutral
0,0,0,1,neutral
1,1,0,0,pro_obama
0,1,0,0,pro_obama
0,0,0,0,pro_obama
0,0,0,0,pro_obama
1,0,0,0,pro_romney
0,1,0,0,pro_obama
1,1,0,0,pro_obama
1,1,0,0,pro_obama
0,1,0,0,neutral
0,1,0,0,pro_romney
1,1,0,0,pro_romney
0,0,0,0,pro_romney
0,1,0,0,neutral
0,1,0,0,pro_obama
0,1,0,0,pro_obama
2,0,0,0,pro_romney
0,0,0,0,neutral
0,1,0,0,pro_obama
1,1,0,0,pro_obama
0,0,0,0,neutral
0,0,0,0,neutral
0,1,0,0,pro_romney
0,1,0,0,pro_romney
0,0,0,0,pro_romney
0,1,0,0,neutral
0,0,0,0,pro_romney
1,1,0,0,pro_romney
2,0,0,0,pro_obama
0,0,0,0,neutral
1,0,0,0,pro_obama
0,0,0,1,pro_obama
1,1,0,0,neutral
1,1,0,0,pro_obama
0,0,0,0,pro_romney
2,1,0,1,pro_romney
1,1,0,0,pro_obama
0,1,0,0,pro_romney
0,1,0,0,pro_romney
1,1,0,1,neutral
1,1,0,0,neutral
1,1,0,1,pro_romney
1,1,0,0,pro_obama
1,0,0,0,neutral
0,1,0,0,neutral
0,0,0,0,neutral
0,1,0,1,pro_obama
0,0,0,0,pro_obama
0,1,0,0,pro_romney
0,0,0,0,neutral
0,1,0,0,neutral
2,0,0,0,pro_romney
1,1,0,0,neutral
0,0,0,0,pro_romney
0,0,0,0,pro_obama
0,1,0,0,pro_romney
0,0,0,0,neutral
0,1,0,0,pro_obama
1,0,0,0,pro_romney
0,0,0,0,pro_obama
1,0,0,0,pro_romney
0,0,0,0,neutral
0,0,0,0,pro_obama
0,1,1,0,neutral
0,1,0,1,pro_obama
0,1,0,0,pro_romney
1,1,0,0,pro_romney
0,1,0,0,pro_obama
0,1,0,0,pro_romney
0,1,0,0,pro_obama
2,1,0,0,pro_obama
1,1,0,0,pro_romney
2,0,0,0,pro_romney
1,1,0,0,pro_romney
0,1,0,0,pro_obama
0,1,0,0,pro_romney
1,1,0,1,pro_romney
0,1,0,0,pro_obama
0,0,0,1,pro_romney
0,1,0,0,neutral
0,0,0,0,neutral
0,1,0,0,neutral
1,0,0,0,pro_romney
1,0,0,1,pro_romney
2,0,0,0,pro_romney
0,1,0,0,neutral
0,1,0,0,pro_obama
0,0,0,0,neutral
0,0,0,0,neutral
0,0,0,0,pro_romney
1,1,0,0,pro_obama
0,1,0,0,pro_obama
1,1,0,0,pro_obama
0,0,0,0,pro_obama
0,1,0,0,neutral
0,1,0,0,pro_romney
1,1,0,1,pro_obama
1,1,0,0,pro_obama
2,1,0,0,pro_obama
0,0,0,0,pro_obama
0,1,0,0,neutral
0,1,0,0,pro_obama
1,1,0,0,neutral
0,1,0,0,pro_obama
0,1,0,1,pro_obama
1,1,0,0,pro_obama
0,1,0,0,pro_obama
1,1,0,0,pro_obama
0,1,0,0,pro_romney
0,0,0,1,neutral
0,1,0,0,pro_romney
0,1,0,0,pro_romney
1,0,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,0,0,0,neutral
3,0,0,0,pro_romney
0,1,0,1,pro_obama
0,1,0,0,pro_obama
0,1,0,0,pro_obama
0,1,0,0,pro_obama
3,1,0,0,neutral
0,1,0,0,pro_obama
1,1,0,0,neutral
1,1,0,0,pro_romney
0,1,0,0,pro_romney
1,1,0,0,neutral
1,1,0,0,neutral
2,1,0,0,pro_obama
1,1,0,1,pro_obama
1,0,0,0,pro_obama
0,0,0,0,neutral
2,1,0,1,pro_obama
0,1,0,0,neutral
0,0,0,0,pro_romney
0,1,0,0,neutral
1,1,0,0,pro_obama
0,1,0,0,pro_romney
0,1,0,0,neutral
0,0,0,0,neutral
0,1,0,0,pro_obama
0,0,0,0,pro_obama
0,0,0,0,neutral
1,1,0,0,pro_obama
0,1,0,0,pro_obama
1,1,0,1,pro_obama
1,1,0,0,pro_obama
0,1,0,0,pro_obama
1,1,0,0,pro_obama
0,1,0,0,pro_romney
0,1,0,0,pro_obama
0,0,0,0,neutral
0,1,0,0,pro_romney
0,1,0,0,neutral
3,1,0,0,pro_obama
0,1,0,0,pro_romney
2,0,0,0,pro_obama
0,0,0,0,neutral
0,1,0,0,pro_obama
0,1,0,0,pro_obama
2,0,0,0,pro_romney
0,1,0,0,pro_romney
0,1,0,0,neutral
0,0,0,0,pro_romney
1,0,0,0,neutral
1,1,0,0,neutral
0,1,0,0,pro_obama
0,1,0,0,pro_obama
0,0,0,0,neutral
0,0,0,0,neutral
2,1,0,0,neutral
2,1,0,1,neutral
2,1,0,0,pro_obama
1,1,0,0,pro_obama
0,1,0,0,neutral
1,1,0,0,neutral
1,1,0,0,pro_obama
0,0,0,0,pro_obama
0,1,0,0,pro_obama
1,0,0,1,neutral
0,0,0,0,neutral
0,1,0,0,neutral
1,1,0,0,pro_obama
0,1,0,0,pro_romney
0,0,0,0,neutral
0,1,0,0,neutral
0,1,0,1,neutral
0,0,0,0,pro_obama
0,0,0,0,neutral
1,0,0,0,neutral
0,0,0,0,neutral
0,1,0,0,pro_obama
0,0,0,0,neutral
0,1,0,0,neutral
0,0,0,0,pro_romney
0,0,0,0,neutral
1,0,0,0,neutral
0,1,0,0,neutral
1,0,0,1,pro_obama
1,0,0,0,pro_romney
0,0,0,0,pro_romney
0,1,0,0,neutral
1,0,0,0,neutral
1,0,0,0,neutral
1,0,0,0,neutral
0,0,0,0,neutral
0,1,0,0,pro_obama
1,0,0,0,neutral
0,1,0,0,neutral
1,1,0,0,pro_obama
0,0,0,0,pro_romney
0,1,0,0,neutral
1,1,0,0,pro_obama
0,0,0,0,pro_obama
0,1,0,0,neutral
0,1,0,0,pro_obama
0,0,1,0,pro_romney
0,1,0,0,pro_romney
0,1,0,0,pro_obama
0,1,0,1,neutral
0,0,0,0,pro_obama
0,1,0,0,pro_obama
2,0,0,0,pro_romney
1,1,0,0,pro_obama
0,1,0,0,neutral
0,1,0,0,pro_romney
0,1,0,0,neutral
0,1,0,0,pro_obama
0,1,1,0,neutral
0,0,0,0,neutral
0,0,0,0,neutral
1,1,0,0,neutral
0,1,0,0,neutral
2,0,0,0,pro_romney
1,1,0,0,pro_obama
0,0,0,0,neutral
1,0,0,0,pro_romney
1,0,0,0,pro_romney
0,0,0,0,pro_romney
0,1,0,0,neutral
0,1,0,0,pro_obama
1,1,0,0,neutral
0,0,0,1,pro_obama
0,1,0,0,pro_obama
1,1,0,0,pro_obama
0,0,0,1,neutral
1,0,0,0,pro_romney
1,0,0,0,neutral
1,0,0,1,neutral
1,0,0,0,neutral
1,0,0,0,pro_romney
0,0,0,0,pro_romney
1,1,0,0,pro_obama
1,1,0,0,pro_obama
0,0,0,0,pro_romney
0,1,0,0,pro_romney
0,0,0,0,neutral
1,0,0,0,pro_romney
1,0,0,0,neutral
0,1,0,0,neutral
0,0,0,0,neutral
1,0,0,1,neutral
2,1,0,0,pro_obama
0,0,0,0,pro_obama
1,1,0,0,pro_obama
1,0,0,0,pro_romney
0,1,0,0,pro_romney
0,0,0,0,neutral
1,0,0,0,neutral
1,0,0,0,neutral
0,0,0,0,neutral
0,0,0,0,neutral
2,0,0,0,neutral
1,1,0,0,pro_obama
0,0,0,0,neutral
0,1,0,0,neutral
0,0,0,0,pro_romney
0,0,0,0,pro_obama
0,0,0,0,pro_obama
1,1,0,0,pro_obama
0,1,0,0,neutral
0,0,0,0,neutral
1,1,0,0,pro_obama
1,0,1,0,pro_romney
0,1,0,0,pro_obama
0,0,0,0,neutral
1,1,0,1,pro_obama
1,0,0,0,neutral
3,1,0,0,pro_obama
2,0,0,0,pro_romney
0,1,0,0,pro_obama
0,1,0,0,neutral
0,0,0,0,neutral
0,0,0,0,neutral
0,1,0,0,neutral
0,1,0,0,pro_romney
0,0,0,0,pro_romney
1,1,0,0,neutral
3,0,0,0,neutral
0,0,0,0,neutral
0,1,0,0,neutral
0,0,0,0,neutral
0,1,0,0,pro_obama
2,0,0,0,neutral
0,0,0,0,neutral
0,0,0,0,neutral
0,1,0,0,neutral
1,1,0,0,pro_obama
1,1,0,0,pro_obama
1,1,1,0,neutral
1,0,0,0,neutral
0,1,0,0,pro_romney
0,0,0,0,pro_obama
2,0,0,0,neutral
1,1,0,0,pro_romney
0,0,0,0,pro_obama
0,0,0,0,neutral
0,1,0,1,pro_obama
2,0,0,0,neutral
0,0,0,0,neutral
1,0,0,1,neutral
0,1,0,0,pro_obama
1,1,0,0,pro_romney
0,1,0,0,pro_romney
1,1,0,0,pro_obama
1,1,0,0,pro_romney
0,0,0,0,neutral
1,0,0,0,neutral
2,0,0,0,pro_obama
0,0,0,0,pro_obama
1,1,0,0,pro_obama
1,1,0,0,pro_obama
0,0,0,0,neutral
0,1,0,0,neutral
0,1,0,1,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,0,0,0,neutral
0,1,0,0,pro_obama
0,1,0,0,neutral
1,0,0,0,pro_romney
0,0,0,0,pro_obama
0,1,0,0,neutral
2,0,0,0,pro_romney
0,1,0,0,pro_romney
1,0,0,1,pro_romney
1,0,0,0,neutral
1,0,0,0,pro_romney
2,1,1,0,pro_obama
0,0,0,0,pro_obama
0,0,0,0,pro_obama
0,0,0,0,pro_obama
0,0,0,0,neutral
0,0,0,1,neutral
1,1,0,0,neutral
0,0,0,0,pro_romney
0,0,0,0,pro_obama
2,1,0,0,pro_obama
1,1,0,0,pro_obama
0,1,0,0,pro_obama
0,1,0,0,neutral
0,1,0,0,neutral
0,0,0,0,neutral
0,0,0,0,pro_obama
1,0,0,0,pro_romney
0,0,0,0,neutral
1,1,0,0,pro_romney
0,1,0,0,pro_obama
0,1,0,0,pro_obama
4,0,0,0,pro_romney
1,1,0,0,neutral
0,0,0,0,neutral
0,1,0,0,pro_obama
0,1,0,0,pro_romney
1,0,0,0,pro_romney
0,0,0,0,neutral
0,0,0,0,pro_obama
1,1,0,0,pro_obama
0,1,0,0,pro_romney
0,0,0,0,pro_romney
1,1,0,0,pro_obama
0,1,0,0,pro_obama
0,0,0,0,pro_romney
2,0,0,0,pro_romney
0,0,0,0,neutral
2,1,0,0,pro_obama
1,0,0,0,neutral
0,0,0,0,pro_romney
1,1,0,0,pro_obama
1,0,0,0,pro_obama
0,1,0,0,pro_obama
0,1,0,0,neutral
1,1,0,0,neutral
0,0,0,0,pro_romney
0,0,0,0,pro_obama
0,0,0,0,neutral
2,1,0,0,pro_romney
0,1,0,0,pro_obama
4,0,0,0,pro_romney
0,1,0,0,neutral
0,1,0,0,neutral
1,1,0,0,pro_obama
1,0,0,1,pro_romney
0,0,0,0,neutral
0,1,0,0,pro_obama
0,0,0,0,neutral
2,0,0,0,neutral
0,0,0,0,pro_obama
0,0,0,0,pro_romney
0,0,0,0,pro_romney
0,1,0,0,pro_romney
0,0,0,0,pro_romney
2,1,0,0,neutral
0,1,0,0,pro_romney
0,0,0,0,pro_obama
1,1,0,0,pro_obama
0,0,0,0,pro_obama
1,1,0,1,neutral
0,0,1,0,pro_obama
2,0,0,0,pro_romney
0,1,0,0,neutral
2,0,0,1,pro_romney
0,0,0,0,pro_obama
0,0,0,0,pro_obama
1,0,0,0,pro_obama
0,0,0,0,pro_obama
0,0,0,0,neutral
0,0,0,0,pro_obama
1,1,0,0,pro_romney
0,0,0,0,neutral
0,1,0,0,pro_romney
1,1,0,0,pro_obama
0,0,0,0,neutral
0,0,0,0,pro_obama
3,1,0,0,pro_obama
1,1,0,0,pro_obama
1,1,0,0,neutral
2,0,0,0,neutral
0,0,0,0,pro_romney
2,0,0,0,neutral
2,1,0,0,pro_romney
0,0,0,0,pro_romney
1,0,0,0,pro_romney
1,1,0,0,pro_romney
0,0,0,0,neutral
0,1,0,0,neutral
1,1,0,0,pro_obama
0,0,0,0,neutral
1,1,0,0,neutral
2,1,0,0,neutral
0,0,0,0,neutral
2,1,0,0,pro_obama
0,1,0,0,pro_romney
1,0,0,0,neutral
0,0,0,0,neutral
1,0,0,0,neutral
1,1,0,0,pro_obama
1,1,0,0,neutral
2,1,0,0,pro_obama
1,0,0,0,pro_romney
1,1,0,0,pro_romney
0,1,0,0,pro_romney
0,0,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
1,0,0,0,neutral
0,0,0,0,pro_obama
0,1,0,0,pro_obama
0,1,0,0,neutral
2,0,0,1,neutral
1,0,0,0,neutral
0,0,0,0,neutral
1,0,0,0,neutral
0,0,0,0,neutral
0,1,0,0,neutral
0,1,0,0,pro_romney
0,0,0,0,neutral
0,0,0,0,neutral
2,0,0,0,neutral
0,0,0,0,neutral
0,1,0,0,neutral
1,1,0,0,neutral
1,0,0,0,neutral
0,0,0,0,pro_romney
0,0,0,0,neutral
1,0,0,1,pro_romney
0,0,0,0,pro_romney
0,0,0,0,neutral
0,0,0,0,neutral
0,0,0,0,pro_obama
1,1,0,0,pro_obama
0,0,0,0,neutral
0,1,0,0,neutral
2,0,0,0,pro_romney
1,1,0,0,neutral
1,1,0,0,pro_obama
0,0,0,0,neutral
0,0,0,0,pro_romney
0,0,0,0,neutral
1,0,0,0,neutral
0,0,0,0,neutral
0,1,0,0,pro_obama
0,1,1,1,pro_romney
0,1,0,0,pro_romney
1,1,0,0,neutral
1,0,0,0,pro_romney
0,0,0,0,neutral
0,0,0,0,neutral
2,0,0,0,pro_obama
1,1,0,0,pro_romney
0,0,0,0,neutral
0,0,0,0,neutral
1,0,0,0,pro_obama
0,1,0,0,pro_romney
1,1,0,0,neutral
1,0,0,0,pro_obama
0,0,0,0,pro_obama
3,0,0,0,pro_romney
0,1,0,0,neutral
1,0,0,0,pro_obama
0,0,0,0,pro_romney
0,1,0,0,neutral
2,0,0,0,pro_romney
0,1,0,0,neutral
0,0,0,0,neutral
2,0,0,0,neutral
1,0,0,0,neutral
0,1,0,0,pro_obama
0,1,0,0,neutral
2,0,1,1,neutral
1,1,0,0,pro_obama
1,0,0,0,pro_romney
0,0,0,0,neutral
0,1,0,0,pro_romney
0,0,0,0,neutral
0,0,0,0,neutral
0,0,0,0,pro_obama
0,0,0,0,pro_romney
1,0,0,1,neutral
0,0,0,0,neutral
0,0,0,0,neutral
0,0,0,0,pro_obama
0,1,0,0,neutral
0,0,0,0,neutral
0,1,0,0,pro_obama
0,0,0,0,pro_romney
0,0,0,0,neutral
0,0,0,0,pro_obama
0,1,0,0,pro_obama
1,0,0,0,pro_romney
1,0,0,1,pro_obama
0,0,0,0,pro_obama
0,0,0,0,neutral
0,0,0,0,pro_obama
1,0,0,0,pro_romney
0,0,0,0,neutral
0,0,0,0,neutral
0,1,0,0,pro_obama
0,1,0,0,pro_romney
0,0,0,0,pro_romney
0,0,0,0,pro_romney
0,1,0,0,pro_obama
0,1,0,0,pro_romney
0,0,0,0,pro_obama
0,1,1,0,neutral
1,1,0,0,pro_obama
0,0,0,0,neutral
0,0,0,0,pro_obama
0,0,1,0,neutral
0,1,0,0,pro_romney
0,1,0,0,neutral
0,0,0,0,pro_obama
1,1,0,0,neutral
1,0,0,0,neutral
1,0,0,0,neutral
0,0,0,0,neutral
1,0,0,0,pro_obama
0,0,0,0,neutral
0,0,0,0,pro_obama
0,0,0,0,pro_romney
0,0,0,0,pro_romney
0,1,0,0,pro_obama
0,1,0,0,pro_obama
0,1,0,0,pro_obama
0,0,0,0,pro_obama
0,1,0,0,neutral
0,0,0,0,neutral
1,0,0,0,neutral
0,0,0,0,neutral
0,1,0,0,pro_obama
0,0,1,0,pro_obama
1,1,0,0,pro_obama
0,0,0,0,pro_obama
2,1,0,0,neutral
2,1,0,1,pro_obama
0,0,0,0,pro_obama
2,0,0,0,pro_romney
0,0,0,0,pro_romney
0,0,0,0,pro_obama
1,0,0,0,pro_romney
0,0,0,1,pro_obama
0,1,0,0,pro_obama
0,0,0,0,neutral
0,0,0,0,neutral
0,1,0,0,pro_obama
0,0,0,0,pro_romney
0,0,0,0,pro_romney
0,0,0,0,pro_obama
0,0,0,0,neutral
0,0,0,0,neutral
0,0,0,0,pro_obama
0,0,1,0,pro_obama
1,1,0,0,neutral
0,0,1,0,pro_obama
0,0,1,0,pro_obama
1,1,0,0,neutral
0,0,0,0,neutral
0,0,0,1,neutral
1,0,0,0,neutral
0,0,0,0,pro_obama
0,0,0,0,pro_obama
0,1,0,0,pro_obama
0,0,0,0,pro_obama
0,1,0,0,pro_obama
0,0,0,1,neutral
0,0,0,0,neutral
0,0,1,0,pro_obama
0,0,0,0,neutral
0,0,0,0,neutral
